HGenerator;HGenerator_cod;Name;Ghbus;Ghbus_Name;GENCO;GENCO_Name;Ghzone;Ghzone_Name;Qhmax;Qhmin;Rup;Rdown;Vmax;Vmin;Vi;p;pc;WV
1;1;Hydro 1;3;MG;18;GENCO 18;1;SECO;186;0;28;28;792;120;507.07;0.187;6.118;9.53
2;2;Hydro 2;3;MG;18;GENCO 18;1;SECO;192;0;37;37;11;11;11;0.243;5.931;9.53
3;4;Hydro 3;3;MG;18;GENCO 18;1;SECO;483;0;137;137;304;304;304;0.354;5.688;9.52
4;6;Hydro 4;3;MG;49;GENCO 49;1;SECO;1483;0;930;930;22950;5733;16045.98;0.784;5.334;9.47
5;7;Hydro 5;3;MG;49;GENCO 49;1;SECO;1182;0;310;310;4040;1540;3395.5;0.328;4.55;9.47
6;8;Hydro 6;1;SP;49;GENCO 49;1;SECO;1884;0;817;817;1423;1423;1423;0.542;4.222;9.46
7;9;Hydro 7;3;MG;43;GENCO 43;1;SECO;841;0;264;264;450;450;450;0.393;3.68;9.4
8;10;Hydro 8;3;MG;18;GENCO 18;1;SECO;1328;0;154;154;480;480;480;0.145;3.287;9.8
9;11;Hydro 9;3;MG;40;GENCO 40;1;SECO;1356;0;269;269;2244;2244;2244;0.248;3.142;9.8
10;12;Hydro 10;3;MG;49;GENCO 49;1;SECO;1350;0;217;217;1524;1524;1524;0.201;2.894;9.78
11;14;Hydro 11;1;SP;1;GENCO 1;1;SECO;87;0;54;54;555;51;328.05;0.783;4.445;9.71
12;15;Hydro 12;1;SP;1;GENCO 1;1;SECO;140;0;84;84;14;14;14;0.748;3.662;9.75
13;16;Hydro 13;1;SP;1;GENCO 1;1;SECO;136;0;24;24;25;25;25;0.22;2.914;9.73
14;17;Hydro 14;3;MG;49;GENCO 49;1;SECO;2540;0;990;990;6150;890;3015.57;0.487;2.694;9.72
15;18;Hydro 15;1;SP;1;GENCO 1;1;SECO;2755;0;985;985;11025;5856;7288.33;0.447;2.207;9.64
16;20;Hydro 16;3;MG;49;GENCO 49;1;SECO;119;0;32;32;1781.61;430.05;826.87;0.331;5.343;9.68
17;21;Hydro 17;6;GO;80;GENCO 80;1;SECO;298;0;146;146;5199;1752;2835.39;0.614;5.012;9.69
18;24;Hydro 18;3;MG;18;GENCO 18;1;SECO;925;0;804;804;17725;4669;10890.18;1.086;4.398;9.71
19;25;Hydro 19;3;MG;18;GENCO 18;1;SECO;473;0;343;343;12792;2412;6735.27;0.906;5.756;9.64
20;26;Hydro 20;3;MG;43;GENCO 43;1;SECO;622;0;306;306;1120;974;1091.49;0.614;4.85;9.8
21;27;Hydro 21;3;MG;18;GENCO 18;1;SECO;450;0;183;183;241.13;228.27;228.29;0.509;4.237;9.78
22;28;Hydro 22;3;MG;18;GENCO 18;1;SECO;476;0;158;158;879;878;878.53;0.416;3.728;9.76
23;29;Hydro 23;6;GO;25;GENCO 25;1;SECO;206;0;95;95;3708;2936.6;3402.37;0.575;4.818;9.56
24;30;Hydro 24;6;GO;49;GENCO 49;1;SECO;520;0;246;246;1500;470;1008.38;0.591;3.903;9.76
25;31;Hydro 25;3;MG;49;GENCO 49;1;SECO;2504;0;1330;1330;17027;4573;10498.61;0.664;3.312;9.73
26;32;Hydro 26;6;GO;39;GENCO 39;1;SECO;2230;0;480;480;460;460;460;0.269;2.648;9.68
27;33;Hydro 27;3;MG;74;GENCO 74;1;SECO;2362;0;1170;1170;12540;7000;8787.2;0.619;2.378;9.7
28;34;Hydro 28;1;SP;27;GENCO 27;1;SECO;8112;0;2460;2460;21060;8232;18643.2;0.379;1.759;9.54
29;37;Hydro 29;1;SP;1;GENCO 1;1;SECO;642;0;83;83;3135;569;2793.47;0.161;2.778;9.63
30;38;Hydro 30;1;SP;1;GENCO 1;1;SECO;708;0;104;104;544;544;544;0.184;2.617;9.68
31;39;Hydro 31;1;SP;1;GENCO 1;1;SECO;693;0;96;96;985;985;985;0.173;2.432;9.66
32;40;Hydro 32;1;SP;1;GENCO 1;1;SECO;1102;0;182;182;7408;5280;6228.88;0.207;2.259;9.64
33;42;Hydro 33;1;SP;1;GENCO 1;1;SECO;1186;0;264;264;2720;2720;2720;0.278;2.053;9.61
34;43;Hydro 34;1;SP;90;GENCO 90;1;SECO;1824;0;576;576;13372;9923;12746.01;0.395;1.775;9.54
35;45;Hydro 35;1;SP;27;GENCO 27;1;SECO;7548;0;1081;1081;3354;3354;3354;0.179;0.354;9.46
