TGenerator;TGenerator_cod;Name;Gtbus;Gtbus_Name;GENCO;GENCO_Name;Gtzone;Gtzone_Name;Qtmax_1;Qtmax_2;Qtmax_3;Qtmax_4;Qtmax_5;Qtmax_6;Qtmax_7;Qtmax_8;Qtmax_9;Qtmax_10;Qtmax_11;Qtmax_12;Qtmax_13;Qtmax_14;Qtmax_15;Qtmax_16;Qtmax_17;Qtmax_18;Qtmax_19;Qtmax_20;Qtmax_21;Qtmax_22;Qtmax_23;Qtmax_24;Qtmin_1;Qtmin_2;Qtmin_3;Qtmin_4;Qtmin_5;Qtmin_6;Qtmin_7;Qtmin_8;Qtmin_9;Qtmin_10;Qtmin_11;Qtmin_12;Qtmin_13;Qtmin_14;Qtmin_15;Qtmin_16;Qtmin_17;Qtmin_18;Qtmin_19;Qtmin_20;Qtmin_21;Qtmin_22;Qtmin_23;Qtmin_24;Rup;Rdown;UVC;Fuel
1;1;Thermal1;1;Bus1;2;GENCO2;1;Zone1;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;300;300;Coal
2;2;Thermal2;2;Bus2;1;GENCO1;1;Zone1;650;650;650;650;650;650;650;650;650;650;650;650;650;650;650;650;650;650;650;650;650;650;650;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;200;320;Coal
3;3;Thermal3;2;Bus2;4;GENCO4;1;Zone1;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;40;40;50;Nuclear
4;4;Thermal4;3;Bus3;4;GENCO4;2;Zone2;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;125;0;Renewables
5;5;Thermal5;3;Bus3;4;GENCO4;2;Zone2;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;125;0;Renewables
6;6;Thermal6;1;Bus1;4;GENCO4;1;Zone1;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;1000;Oil
7;7;Thermal7;1;Bus1;4;GENCO4;1;Zone1;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;60;1200;Oil
8;8;Thermal8;2;Bus2;4;GENCO4;1;Zone1;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;70;1600;Oil
9;9;Thermal9;1;Bus1;4;GENCO4;1;Zone1;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;350;Coal
10;10;Thermal10;1;Bus1;4;GENCO4;1;Zone1;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;110;370;Coal
11;11;Thermal11;2;Bus2;4;GENCO4;1;Zone1;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;120;220;Coal
12;12;Thermal12;2;Bus2;4;GENCO4;1;Zone1;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;200;Coal
13;13;Thermal13;2;Bus2;4;GENCO4;1;Zone1;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;190;360;Gas
14;14;Thermal14;2;Bus2;4;GENCO4;1;Zone1;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;190;390;Gas
15;15;Thermal15;3;Bus3;4;GENCO4;2;Zone2;205;205;205;205;205;205;205;205;205;205;205;205;205;205;205;205;205;205;205;205;205;205;205;205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;190;460;Gas
16;16;Thermal16;3;Bus3;4;GENCO4;2;Zone2;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;190;500;Gas
